IDMAEEDO;TIDO;NUDO;ENDO;SUENDO;SUDO;FEEMDO;FEER;MODO;TIMODO;TIDEVE;TIDEVEFE;TIDEVEHO;PPPRNE;TAMOPPPR;VANELI;FEEMLI;KOFULIDO;LILG;PRCT;NULIDO;FEERLI;SULIDO;BOSULIDO;LUVTLIDO;KOPRCT;UD01PR;NOKOZO;IDMAEDDO;NUSEPR;CAPRCO1;CAPRAD1;CAPREX1;UD02PR;CAPRCO2;CAPRAD2;CAPREX2;OCDO;OBDO;NOKOEN;ZOEN;DIEN;COMUNA;TIPR;NOKOPR;PFPR;FMPR;RUPR;MRPR;STFI1;STFI2;PRRG;KOPRTE;ENDOFI;UBICACION;OBSERVA;
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       42990.00000;           1.00000;     3033374.00000;"15/09/2025";"PBV";"SI";0;"00015";"29/09/2025";"004";"006";"37";"PCA907BASE056";"GL";"";     1653556.00000;"";         288.00000;           0.00000;          40.00000;"BD";          72.00000;           0.00000;          10.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ZINC ACRYL BASE INCOLORA 4 GALONES";"0001";"003";"01";"";         348.00000;          87.00000;1;"PCA907BASE056";"";"";"";
      515941.00000;"NVV";"0000425837";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       29990.00000;           1.00000;     2159280.00000;"15/09/2025";"PBV";"SI";0;"00001";"29/09/2025";"004";"006";"37";"PCASMARTBO06";"GL";"";     1653559.00000;"";         288.00000;           0.00000;          40.00000;"BD";          72.00000;           0.00000;          10.00000;"1204594";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ESMALTE AGUA SMART COPPER BASE OSCURA 4 GALONES";"0001";"003";"01";"";         176.00000;          44.00000;1;"PCASMARTBO06";"";"";"";
      515941.00000;"NVV";"0000425837";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       39990.00000;           1.00000;     4158960.00000;"15/09/2025";"PBV";"SI";0;"00002";"29/09/2025";"004";"006";"37";"PCA960ECOPBL6";"GL";"";     1653560.00000;"";         416.00000;           0.00000;           0.00000;"BD";         104.00000;           0.00000;           0.00000;"1204594";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ESMALTE AL AGUA COPPER 960 BLANCO 4 GALONES.";"0001";"003";"";"";         648.00000;         162.00000;1;"PCA960ECOPBL6";"";"";"";
      515942.00000;"NVV";"0000425838";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       55000.00000;           1.00000;      269500.00000;"15/09/2025";"PBV";"SI";0;"00001";"29/09/2025";"004";"006";"37";"PCA106BLANCO6";"GL";"";     1653561.00000;"";          20.00000;           0.00000;           0.00000;"BD";           5.00000;           0.00000;           0.00000;"1204632";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ANTICORROSIVO ESTRUCTURAL BLANCO 4 GALONES";"0002";"003";"01";"";           8.00000;           2.00000;0;"PCA106BLANCO6";"";"";"";
      515942.00000;"NVV";"0000425838";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       28990.00000;           1.00000;     2045534.00000;"15/09/2025";"PBV";"SI";0;"00002";"29/09/2025";"004";"006";"37";"PCA912EIFSIN6";"GL";"";     1653562.00000;"";         288.00000;           0.00000;           0.00000;"BD";          72.00000;           0.00000;           0.00000;"1204632";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"TEXTU EIFS G-10 BASE INCOLORA 4 GALONES";"0004";"003";"01";"";         632.00000;         158.00000;1;"PCA912EIFSIN6";"";"";"";
      515942.00000;"NVV";"0000425838";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       30990.00000;           1.00000;     1093327.00000;"15/09/2025";"PBV";"SI";0;"00003";"29/09/2025";"004";"006";"37";"PCA912EI10BL6";"GL";"";     1653563.00000;"";         144.00000;           0.00000;           0.00000;"BD";          36.00000;           0.00000;           0.00000;"1204632";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"TEXTU EIFS G-10 BLANCO 4 GALONES";"0004";"003";"01";"";         380.00000;          95.00000;1;"PCA912EI10BL6";"";"";"";
      515942.00000;"NVV";"0000425838";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       28990.00000;           1.00000;      568204.00000;"15/09/2025";"PBV";"SI";0;"00004";"29/09/2025";"004";"006";"37";"PCA912G25BIN6";"GL";"";     1653564.00000;"";          80.00000;           0.00000;           0.00000;"BD";          20.00000;           0.00000;           0.00000;"1204632";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"TEXTU EIFS G-25 BASE INCOLORA 4 GALONES";"0004";"003";"01";"";         412.00000;         103.00000;1;"PCA912G25BIN6";"";"";"";
      515942.00000;"NVV";"0000425838";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       44715.00000;           1.00000;      438207.00000;"15/09/2025";"PBV";"SI";0;"00005";"29/09/2025";"004";"006";"37";"PCA960COPPBM5";"GL";"";     1653565.00000;"";          50.00000;           0.00000;           0.00000;"BD";          10.00000;           0.00000;           0.00000;"1204632";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ESMALTE AL AGUA COPPER 960 BASE MEDIA 5 GALONES.";"0001";"003";"";"";          80.00000;          16.00000;0;"PCA960COPPBM5";"";"";"";
      515942.00000;"NVV";"0000425838";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       36043.00000;           1.00000;      706443.00000;"15/09/2025";"PBV";"SI";0;"00006";"29/09/2025";"004";"006";"37";"PCA960ECOPBO5";"GL";"";     1653566.00000;"";         100.00000;           0.00000;          50.00000;"BD";          20.00000;           0.00000;          10.00000;"1204632";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ESMALTE AL AGUA COPPER 960 BASE OSCURA 5 GALONES.";"0001";"003";"";"";         140.00000;          28.00000;1;"PCA960ECOPBO5";"";"";"";
      515942.00000;"NVV";"0000425838";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       66360.00000;           1.00000;      325164.00000;"15/09/2025";"PBV";"SI";0;"00007";"29/09/2025";"004";"006";"37";"PCA116POLNAT6";"GL";"";     1653567.00000;"";          20.00000;           0.00000;           0.00000;"BD";           5.00000;           0.00000;           0.00000;"1204632";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"STAIN POLIDECOR NATURAL 4 GALONES";"0002";"003";"";"";          32.00000;           8.00000;0;"PCA116POLNAT6";"";"";"";
